 ,ar,pt-br,bg,cs,da,nl,en-gb,en-US,fi,fr,de,el,he,hu,id,it,ja,ko,no,pl,ro,ru,zh-cn,es,sv,th,zh-tw,tr,vi
usdk_generic_error_return_button,رجوع,Voltar,Връщане,Zpět,Vend tilbage,Terug,Return,Return,Palaa,Retour,Zurückkehren,Επιστροφή,חזור,Vissza,Kembali,Indietro,戻る,돌아가기,Gå tilbake,Wróć,Revenire,Возврат,返回,Volver,Tillbaka,ย้อนกลับ,返回,Dön,Quay lại
usdk_locale_set_success_message,<b>نجاح ZENDESK</b>تم ضبط الإعدادات المحلية بنجاح على <b>{0}</b>,<b>[SUCESSO DO ZENDESK]</b> A localidade foi definida como <b>{0}</b>,<b>[ZENDESK – УСПЕШНО ДЕЙСТВИЕ]</b>Езикът е зададен успешно на <b>{0}</b>,<b>[ÚSPĚCH ZENDESKU]</b>Národní prostředí bylo úspěšně nastaveno na <b>{0}</b>,<b>[ZENDESK SUCCES]</b>Landestandarden er blevet angivet som <b>{0}</b>,<b>[ZENDESK SUCCESS]</b>De landinstellingen zijn ingesteld op <b>{0}</b>,<b>[ZENDESK SUCCESS]</b>Locale is successfully set to <b>{0}</b>,<b>[ZENDESK SUCCESS]</b>Locale is successfully set to <b>{0}</b>,<b>[ZENDESK – ONNISTUI]</b>Kielialueeksi on asetettu <b>{0}</b>,<b>[RÉUSSITE ZENDESK]</b>La langue a été configurée sur <b>{0}</b>,<b>[ZENDESK-ERFOLGSMELDUNG]</b>Gebietsschema erfolgreich auf <b>{0}</b> gesetzt,<b>[ΕΠΙΤΥΧΙΑ ZENDESK]</b>Οι τοπικές ρυθμίσεις ορίστηκαν επιτυχώς σε <b>{0}</b>,<b>[הצלחת ZENDESK]</b>האזור נקבע בהצלחה להיות <b>{0}</b>,<b>[ZENDESK-SIKER]</b>A nyelvi beállítás sikeresen <b>{0}</b> értékre lett konfigurálva,<b>[ZENDESK BERHASIL]</b>Bahasa setempat berhasil ditetapkan menjadi <b>{0}</b>,<b>[OPERAZIONE ZENDESK RIUSCITA]</b>Impostazioni locali configurate come <b>{0}</b>,<b>[ZENDESK SUCCESS]</b> ロケールを<b>{0}</b>にする設定が完了しました,<b>[ZENDESK 성공]</b>로캘을 <b>{0}</b>(으)로 설정했습니다.,<b>[ZENDESK-SUKSESS]</b>Språket er stilt på <b>{0}</b>,<b>[POMYŚLNA OPERACJA ZENDESK]</b>Skonfigurowano następujące ustawienia regionalne: <b>{0}</b>,<b>[SUCCES ZENDESK]</b>Setarea regională este configurată cu succes la <b>{0}</b>,<b>[ВЫПОЛНЕНО - ZENDESK]</b>Установлен язык: <b>{0}</b>,<b>[ZENDESK 成功]</b>区域设置已成功设置为 <b>{0}</b>,<b>[ÉXITO DE ZENDESK]</b>La configuración regional se estableció correctamente en <b>{0}</b>,<b>[ZENDESK – LYCKAT RESULTAT]</b> Språkregionen har angivits som <b>{0}</b>,<b>[ความสำเร็จ ZENDESK]</b>ระบบภาษาถูกตั้งค่าเป็น <b>{0}</b> เรียบร้อย,<b>[ZENDESK 成功]</b>地區設定已成功設定為 <b>{0}</b>,<b>[ZENDESK İŞLEMİ BAŞARILI]</b>Yerel ayar <b>{0}</b> yapıldı,<b>[THÔNG BÁO THÀNH CÔNG CỦA ZENDESK]</b>Ngôn ngữ được đặt thành công là <b>{0}</b>
usdk_help_center_locale_success,الإعدادات المحلية لمركز المساعدة: <b>{0}</b>,Localidade da Central de Ajuda: <b>{0}</b>,Език на Помощния център: <b>{0}</b>,Národní prostředí Centra nápovědy: <b>{0}</b>,Landestandard for Help Center: <b>{0}</b>,Landinstellingen van Helpcenter: <b>{0}</b>,Help Centre locale: <b>{0}</b>,Help Center locale: <b>{0}</b>,Tukiportaalin sijainti: <b>{0}</b>,Langue du Centre d’aide : <b>{0}</b>,Gebietsschema des Help Centers: <b>{0}</b>,Τοπικές ρυθμίσεις Κέντρου βοήθειας: <b>{0}</b>,האזור של מרכז התמיכה: <b>{0}</b>,A Súgóközpont nyelvi beállítása: <b>{0}</b>,Bahasa setempat Pusat Bantuan: <b>{0}</b>,Impostazioni locali del Centro assistenza: <b>{0}</b>,ヘルプセンターを読み込みました: <b>{0}</b>,헬프 센터 로캘: <b>{0}</b>,Kundesenter-språk: <b>{0}</b>,Ustawienia regionalne Centrum pomocy: <b>{0}</b>,Setare regională Centru de asistență: <b>{0}</b>,Язык Справочного центра: <b>{0}</b>,帮助中心区域设置：<b>{0}</b>,Configuración regional del Centro de ayuda: <b>{0}</b>,Helpcenter-språkregion: <b>{0}</b>,ระบบภาษาศูนย์ความช่วยเหลือ: <b>{0}</b>,客服中心地區設定：<b>{0}</b>,Yardım Merkezi yerel ayarı: <b>{0}</b>,Ngôn ngữ của Trung tâm Trợ giúp: <b>{0}</b>
usdk_enter_valid_email,أدخِل عنوان بريد إلكتروني صالحاً,Insira um endereço de e-mail válido,Въведете валиден имейл адрес,Zadejte platnou e‑mailovou adresu,Indtast en gyldig e-mailadresse,Geef een geldig e‑mailadres op,Enter a valid email address,Enter a valid email address,Anna toimiva sähköpostiosoite,Saisissez une adresse e‑mail valide,Gültige E‑Mail-Adresse eingeben,Εισαγάγετε μια έγκυρη διεύθυνση email,הזן דואר אלקטרוני תקין,Érvényes e-mail-címet adjon meg,Masukkan alamat email yang valid,Inserisci un indirizzo email valido,有効なメールアドレスを入力してください,올바른 이메일 주소를 입력하세요.,Skriv inn en gyldig e‑postadresse,Wprowadź prawidłowy adres e‑mail,Introduceți o adresă de e‑mail validă,Введите действительный адрес электронной почты,输入有效的电邮地址,Ingrese una dirección de correo electrónico válida,Ange en giltig e‑postadress,ป้อนที่อยู่อีเมลที่ถูกต้อง,輸入有效的電子郵件地址,Geçerli bir e‑posta adresi girin,Nhập địa chỉ email hợp lệ
usdk_label_delete,حذف,Apagar,Изтриване,Smazat,Slet,Verwijderen,Delete,Delete,Poista,Supprimer,Löschen,Διαγραφή,מחק,Törlés,Hapus,Elimina,削除,삭제,Slett,Usuń,Ștergere,Удалить,删除,Borrar,Ta bort,ลบ,刪除,Sil,Xóa
usdk_jwt_token_integrator_error,انتهت صلاحية إذن JWT أو أن تنسيقه غير صحيح,O token JWT expirou ou seu formato está incorreto,Срокът на JWT токена е изтекъл или форматът му е неправилен,Token JWT je prošlý nebo má nesprávný formát,JWT-token er udløbet eller har et forkert format,JWT-token is verlopen of heeft een onjuiste indeling,JWT unique identifier has expired or it has an incorrect format,JWT unique identifier has expired or it has an incorrect format,JWT on vanhentunut tai sillä on virheellinen muoto,Le token JWT est arrivé à expiration ou est dans un format incorrect,JWT-Token ist abgelaufen oder weist ein falsches Format auf,Το σύμβολο JWT έληξε ή δεν έχει σωστή μορφή,אסימון JWT כבר לא בתוקף או שהפורמט שלו שגוי,A JWT-token lejárt vagy helytelen formátumú,Token JWT telah kedaluwarsa atau memiliki format yang salah,Il token JWT è scaduto o è in un formato non corretto,JWT形式のトークンの期限が切れているか、フォーマットが正しくありません,JWT 토큰이 만료되었거나 잘못된 형식입니다.,JWT-token har utløpt eller har feil format,Token JWT wygasł lub ma nieprawidłowy format,Simbolul JWT a expirat sau are un format incorect,Токен JWT просрочен или имеет неправильный формат,JWT 密钥已过期，或者格式不正确,El token con formato JWT ha vencido o tiene un error de formato,JWT-token har utgått eller också har den fel format,โทเค็น JWT หมดอายุแล้วหรือมีรูปแบบไม่ถูกต้อง,JWT 金鑰已過期或格式錯誤,JWT belirtecinin süresi dolmuş veya biçimi yanlış,Mã JWT đã hết hạn hoặc có định dạng không đúng
usdk_label_email,البريد الإلكتروني,E-mail,Имейл,E-mail,E-mailadresse,E-mail,Email,Email,Sähköpostiosoite,E-mail,E-Mail-Adresse,Email,דואר אלקטרוני,E-mail-cím,Email,Indirizzo email,メールアドレス,이메일,E-postadresse,E-mail,E-mail,Почта,电邮,Correo electrónico,E-postadress,อีเมล,電子郵件,E-posta adresi,Email
usdk_csat_good,جيد,Bom,Положително,V pořádku,God,Goed,Good,Good,Hyvä,Bien,Gut,Καλή,טוב,Jó,Baik,Positiva,満足,좋음,Bra,Dobrze,Bun,Хорошо,好,Bien,Bra,ดี,好,İyi,Tốt
usdk_error_msg_unable_to_send,تعذر إرسال الرسالة,Não foi possível enviar a mensagem,Не можахме да изпратим съобщението,Zprávu nelze odeslat,Meddelelsen kunne ikke sendes,Bericht kan niet worden verzonden,Unable to send message,Unable to send message,Viestiä ei voida lähettää,Échec de l’envoi du message,Nachricht kann nicht gesendet werden,Δεν ήταν δυνατή η αποστολή μηνύματος,לא ניתן לשלוח הודעה,Az üzenet nem küldhető el,Tidak dapat mengirim pesan,Impossibile inviare il messaggio,メッセージを送信できません,메시지를 보낼 수 없습니다.,Kan ikke sende meldingen,Nie można wysłać wiadomości,Imposibil de trimis mesajul,Невозможно отправить сообщение,无法发送消息,No se pudo enviar el mensaje,Det går inte att skicka meddelandet,ไม่สามารถส่งข้อความได้,無法傳送訊息,Mesaj gönderilemiyor,Không thể gửi tin nhắn
usdk_today,اليوم,Hoje,Днес,Dnes,I dag,Vandaag,Today,Today,Tänään,Aujourd’hui,Heute,Σήμερα,היום,Ma,Hari Ini,Oggi,今日,오늘,I dag,Dzisiaj,Astăzi,Сегодня,今天,Hoy,I dag,วันนี้,今天,Bugün,Hôm nay
